entry,bandgap_energy_ev,dataset,formation_energy_ev_natom,id,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,spacegroup
0,3.4387,train,0.068,1,90.0026,90.0023,90.0017,9.9523,8.5513,9.1775,80,0.625,0.375,0,33
1,2.921,train,0.249,2,90.0186,89.998,120.0025,6.184,6.1838,23.6287,80,0.625,0.375,0,194
2,2.7438,train,0.1821,3,90.9688,91.1228,30.5185,9.751,5.6595,13.963,40,0.8125,0.1875,0,227
3,3.3492,train,0.2172,4,89.9888,90.0119,120.0017,5.0036,5.0034,13.5318,30,0.75,0,0.25,167
4,1.3793,train,0.0505,5,89.996,90.0006,119.9893,6.6614,6.6612,24.5813,80,0,0.625,0.375,194
5,2.1633,train,0.2209,6,91.1235,91.3033,30.573,9.8456,5.7176,14.1244,40,0.5625,0.4375,0,227
6,0.9854,train,0.0562,7,90.0009,90.0008,89.9987,10.1664,10.1664,10.1666,80,0.0312,0.0938,0.875,206
7,1.7179,train,0.2243,8,89.9997,105.179,90.0001,12.135,3.1533,6.288,20,0.5,0,0.5,12
8,2.6257,train,0.2193,9,90.0025,90.003,89.9978,9.4027,9.4023,9.4025,80,0.5312,0.2188,0.25,206
9,2.5187,train,0.1994,10,90.0172,89.9994,119.9997,6.252,6.252,23.7931,80,0.4062,0.5938,0,194
10,3.8723,train,0.0581,11,89.9909,90.0103,120.0011,9.8307,4.915,13.3346,60,0.5833,0.4167,0,167
11,2.8805,train,0.259,12,90.0189,89.998,120.0021,6.1935,6.1934,23.6522,80,0.5938,0.4062,0,194
12,3.9039,train,0.0535,13,90.0044,90.0024,90.0015,4.9323,8.4765,9.1059,40,0.8125,0.1875,0,33
13,2.5371,train,0.078,14,90.0059,90.0051,89.9933,9.3513,9.3512,9.3507,80,0.125,0.875,0,206
14,0.9251,train,0.39,15,90.0152,90.0071,119.9918,6.6318,6.6314,24.4597,80,0.375,0.125,0.5,194
15,1.5852,train,0.166,16,89.9997,104.8418,90.0001,24.3679,6.2545,6.1721,80,0.4375,0.1875,0.375,12
16,2.2913,train,0.2544,17,90.0089,90.003,120.0051,6.1239,6.1235,23.4577,80,0.9062,0.0625,0.0312,194
17,1.1844,train,0.0503,18,90.0003,105.241,90,24.765,6.5014,6.486,80,0,0.4062,0.5938,12
18,2.567,train,0.1919,19,89.9942,90.0065,120.001,5.0862,5.0858,13.6981,30,0.4167,0.3333,0.25,167
19,1.5596,train,0.2063,20,90,105.0943,90.0001,12.2649,3.1889,6.3388,20,0.25,0.25,0.5,12
20,1.1365,train,0.0918,21,89.9988,89.998,90,10.9377,9.3249,9.9463,80,0,0.375,0.625,33
21,3.9691,train,0.0566,22,89.9909,90.0103,120.0011,4.9153,4.915,13.3346,30,0.5833,0.4167,0,167
22,2.9122,train,0.2027,23,89.9903,90.0102,120.0016,5.0674,5.0672,13.6668,30,0.6667,0,0.3333,167
23,1.1811,train,0.2753,24,90.0046,90.0031,119.9922,6.5405,6.5403,24.3429,80,0.1562,0.5625,0.2812,194
24,4.0371,train,0.0916,25,89.9883,90.0127,120.0015,4.9172,4.917,13.3449,30,0.75,0.1667,0.0833,167
25,3.3353,train,0.1783,26,90.0055,90.0021,90.001,4.987,8.5565,9.1881,40,0.875,0,0.125,33
26,0.976,train,0.3518,27,90.0159,90.0033,120.0023,6.0436,6.0427,14.2577,40,0.4375,0.25,0.3125,227
27,1.9672,train,0.2237,28,90.5713,90.6612,30.2512,9.7899,5.6664,13.9461,40,0.875,0.125,0,227
28,1.1496,train,0.1898,29,90.0001,104.8049,90.0001,24.717,6.3698,6.2742,80,0.0938,0.5,0.4062,12
29,3.3923,train,0.2106,30,90.002,90.003,89.9991,9.2018,9.2011,9.2015,80,0.8125,0.0312,0.1562,206
30,1.546,train,0.3269,31,90.0123,90.0054,119.9935,6.5261,6.5257,24.2821,80,0.3438,0.3125,0.3438,194
31,0.4095,train,0.2721,32,96.7363,97.9868,32.4294,10.4296,6.1786,15.1318,40,0,0.25,0.75,227
32,2.1264,train,0.2342,33,90.0037,90.0005,90.0006,5.2334,8.9433,9.5725,40,0.5625,0,0.4375,33
33,2.4457,train,0.1469,34,89.9995,104.3985,90.0002,24.2551,6.1051,5.9477,80,0.5938,0.2188,0.1875,12
34,1.3632,train,0.1259,35,90.0034,90.003,89.9955,9.7916,9.7916,9.7914,80,0,0.5625,0.4375,206
35,1.9758,train,0.1064,36,89.9998,104.4804,90.0001,24.4984,6.2112,6.0629,80,0.3438,0.4062,0.25,12
36,1.9983,train,0.2341,37,90.0033,90.0001,90.0006,5.2826,9.0207,9.6494,40,0.5,0,0.5,33
37,1.346,train,0.2993,38,90.0019,89.9989,90.0004,10.7916,9.2003,9.827,80,0.3125,0.0625,0.625,33
38,1.3392,train,0.366,39,90.042,88.1559,120.0197,6.0905,6.0882,14.9241,40,0.25,0.4375,0.3125,227
39,0.927,train,0.2545,40,90.0029,90,119.9897,6.6763,6.676,24.591,80,0.0938,0.4688,0.4375,194
40,1.5402,train,0.1647,41,89.9999,104.7882,90.0001,24.5303,6.2989,6.2039,80,0.2812,0.3438,0.375,12
41,3.4388,train,0.1573,42,90.005,90.002,90.001,10.0379,8.6076,9.2385,80,0.8125,0.0312,0.1562,33
42,2.27,train,0.2876,43,90.004,90.0011,90.0007,10.3335,8.8397,9.4691,80,0.625,0.0312,0.3438,33
43,3.9989,train,0.2093,44,90.0062,90.0015,120.0065,6.0828,6.0824,23.3707,80,0.9688,0.0312,0,194
44,2.3055,train,0.2108,45,90.003,90.0032,89.9969,9.4551,9.4548,9.4548,80,0.4062,0.3438,0.25,206
45,2.8387,train,0.0219,46,89.9995,103.8357,90.0002,24.402,6.0269,5.7748,80,0.5,0.5,0,12
46,2.0234,train,0.3124,47,90.0153,90.0037,120.0014,6.2346,6.2343,23.7022,80,0.6875,0.2188,0.0938,194
47,2.5317,train,0.2123,48,90.0035,90.0016,90.0009,10.1949,8.7348,9.3631,80,0.625,0.1562,0.2188,33
48,0.6786,train,0.2456,49,88.075,87.7806,30.3034,10.4654,6.0606,14.7182,40,0.0625,0.625,0.3125,227
49,3.4819,train,0.2261,50,90.0119,90.0019,120.0044,6.142,6.1416,23.5046,80,0.8438,0.125,0.0312,194
50,2.5143,train,0.1608,51,89.9942,90.0065,120.001,5.0862,5.0858,13.6981,30,0.4167,0.3333,0.25,167
51,2.9429,train,0.1117,52,90.0187,89.9985,120.0009,6.2225,6.2224,23.7226,80,0.5,0.5,0,194
52,0.9961,train,0.0908,53,90.0009,90.0009,89.9987,10.1256,10.1256,10.1258,80,0.0625,0.0938,0.8438,206
53,1.2886,train,0.385,54,90.0152,90.0081,119.9925,6.5988,6.5984,24.3959,80,0.4062,0.125,0.4688,194
54,2.3298,train,0.1185,55,94.2984,93.5832,30.1116,10.0463,5.7672,14.2585,40,0.4375,0.5625,0,227
55,3.7759,train,0.0467,56,89.9923,90.0089,120.0009,4.936,4.9356,13.3762,30,0.5,0.5,0,167
56,1.7358,train,0.2358,57,90.0029,89.9996,90.0005,5.3319,9.098,9.7263,40,0.4375,0,0.5625,33
57,2.1497,train,0.0728,58,89.9979,90.0016,90.0016,10.2554,8.8031,9.4214,80,0.125,0.8125,0.0625,33
58,3.7029,train,0.0617,59,89.9923,90.0089,120.0009,4.936,4.9356,13.3762,30,0.5,0.5,0,167
59,3.8226,train,0.095,60,90.0038,90.0042,89.9969,9.1287,9.1282,9.1282,80,0.6562,0.3438,0,206
60,1.8387,train,0.1461,61,90.0045,90.004,89.9946,9.5583,9.5583,9.558,80,0.0938,0.6875,0.2188,206
61,2.673,train,0.1985,62,90.0037,90.0017,90.001,10.1456,8.6961,9.3246,80,0.6562,0.1562,0.1875,33
62,0.367,train,0.4402,63,90.0085,89.999,119.9993,6.2764,6.2748,14.9602,40,0.125,0.3125,0.5625,227
63,2.2593,train,0.2328,64,98.1747,99.6,31.4714,9.7311,5.7047,14.4281,40,0.625,0.25,0.125,227
64,2.4345,train,0.0614,65,89.9983,90.002,90.002,10.1568,8.7257,9.3445,80,0.1875,0.8125,0,33
65,1.6944,train,0.1138,66,89.9999,104.4371,90.0001,24.6283,6.2468,6.0884,80,0.2188,0.5312,0.25,12
66,1.8454,train,0.2699,67,90.0025,90.0003,90.0006,10.5252,8.9931,9.6202,80,0.4375,0.125,0.4375,33
67,1.5678,train,0.2103,68,90.0012,90.0002,90.0005,10.549,9.0167,9.6414,80,0.3125,0.2812,0.4062,33
68,2.7433,train,0.1252,69,90.0178,89.9991,120.0001,6.2421,6.2421,23.7696,80,0.4375,0.5625,0,194
69,2.1345,train,0.2712,70,98.4826,99.9592,31.4469,9.7089,5.6902,14.4064,40,0.6875,0.1875,0.125,227
70,2.5418,train,0.2728,71,90.796,90.9241,30.3005,10.0751,5.8346,14.3692,40,0.5,0.375,0.125,227
71,2.9752,train,0.1432,72,90.003,90.002,90.0013,10.0562,8.6299,9.257,80,0.625,0.2812,0.0938,33
72,1.0205,train,0.2677,73,90.0001,89.9982,90.0002,10.9139,9.3013,9.9251,80,0.125,0.2188,0.6562,33
73,4.2309,train,0.0442,74,89.9894,90.0117,120.0012,4.8947,4.8944,13.293,30,0.6667,0.3333,0,167
74,2.3414,train,0.2292,75,90.0023,90.0028,89.9978,9.4843,9.484,9.4841,80,0.4688,0.2188,0.3125,206
75,1.6372,train,0.1649,76,89.9978,90.0009,90.001,10.4232,8.9329,9.5513,80,0.0625,0.75,0.1875,33
76,3.6242,train,0.2143,77,90.0105,90.0024,120.0048,6.1329,6.1325,23.4812,80,0.875,0.0938,0.0312,194
77,1.1499,train,0.0824,78,90.0003,105.241,90,24.765,6.5014,6.486,80,0,0.4062,0.5938,12
78,1.3415,train,0.2527,79,90.0137,90.0015,119.9979,6.3051,6.3051,23.9038,80,0.3125,0.6562,0.0312,194
79,1.6822,train,0.1756,80,89.9999,104.6359,90.0001,24.5144,6.2551,6.1334,80,0.3125,0.375,0.3125,12
80,2.0137,train,0.2614,81,90.0028,90.0008,90.0007,10.392,8.8895,9.5168,80,0.5,0.1562,0.3438,33
81,2.5838,train,0.0215,82,89.9997,103.7911,90.0002,12.2659,3.0312,5.8004,20,0.375,0.625,0,12
82,0.9661,train,0.28,83,90.0091,90.0025,119.991,6.6354,6.6351,24.4969,80,0.2188,0.3438,0.4375,194
83,1.4285,train,0.1319,84,90.0036,90.0031,89.9953,9.7639,9.7639,9.7636,80,0,0.5938,0.4062,206
84,2.34,train,0.2665,85,90.9296,91.077,30.5048,9.7273,5.645,13.9226,40,0.875,0,0.125,227
85,3.4371,train,0.1104,86,90.0042,90.0044,89.9963,9.168,9.1675,9.1675,80,0.5625,0.4375,0,206
86,1.7088,train,0.1801,87,89.9998,104.6466,90.0001,24.4819,6.2462,6.127,80,0.3438,0.3438,0.3125,12
87,3.4502,train,0.0702,88,89.9938,90.0075,120.0007,4.9566,4.9562,13.4178,30,0.4167,0.5833,0,167
88,2.3551,train,0.1357,89,93.9475,93.3283,30.1185,10.0117,5.7519,14.1982,40,0.5,0.5,0,227
89,1.8095,train,0.2867,90,90.0101,90.0038,119.9946,6.4537,6.4535,24.1684,80,0.2812,0.5,0.2188,194
90,2.1964,train,0.2135,91,90.001,90.0014,90.001,10.2771,8.8083,9.432,80,0.375,0.4375,0.1875,33
91,0.9843,train,0.1023,92,89.9979,89.9993,120.0011,5.5351,5.5345,14.6534,30,0,0.0833,0.9167,167
92,0.9052,train,0.3764,93,89.9991,89.9968,120.0006,6.0468,6.0469,14.8641,40,0.4375,0.1875,0.375,227
93,3.1829,train,0.2374,94,90.0171,89.9982,120.0036,6.1557,6.1554,23.5583,80,0.7188,0.2812,0,194
94,2.5485,train,0.1987,95,90.0032,90.0035,89.9969,9.3735,9.3731,9.3732,80,0.4688,0.3438,0.1875,206
95,3.4081,train,0.1261,96,89.9912,90.0099,120.0012,4.9585,4.9582,13.428,30,0.5833,0.3333,0.0833,167
96,0.9166,train,0,97,90.0004,90.0004,89.9994,10.2904,10.2903,10.2907,80,0,0,1,206
97,2.7322,train,0.0406,98,89.9997,103.7911,90.0002,12.2659,3.0312,5.8004,20,0.375,0.625,0,12
98,0.7631,train,0.1604,99,89.9997,89.9958,90.0002,5.6422,9.5871,10.2114,40,0,0.0625,0.9375,33
99,3.2272,train,0.1064,100,90.0045,90.0046,89.9956,9.2073,9.2069,9.2068,80,0.4688,0.5312,0,206
100,0.9133,train,0.0409,101,90.0006,90.0006,89.9992,10.2218,10.2218,10.2221,80,0.0312,0.0312,0.9375,206
101,1.9497,train,0.1103,102,90.0057,90.0048,89.9931,9.4868,9.4868,9.4863,80,0,0.9062,0.0938,206
102,3.6786,train,0.1022,103,90.0039,90.0043,89.9967,9.1418,9.1413,9.1413,80,0.625,0.375,0,206
103,3.2429,train,0.2221,104,89.9895,90.0112,120.0016,10.0279,5.0137,13.5526,60,0.7083,0.0417,0.25,167
